zipcode,metro,composite_score,letter_grade
15031,Pittsburgh,60.15493387739933,C
15086,Pittsburgh,58.005568321545965,C
15229,Pittsburgh,59.545750381182046,C
15046,Pittsburgh,68.08457197646925,B
15056,Pittsburgh,37.39632399906737,D
15122,Pittsburgh,50.85936136321426,C
15139,Pittsburgh,54.28117380711322,C
15142,Pittsburgh,71.24816735967276,B
15202,Pittsburgh,59.773140425920616,C
15236,Pittsburgh,54.49779412386405,C
15241,Pittsburgh,64.51543104030483,C
15332,Pittsburgh,66.50810864142778,B
15082,Pittsburgh,64.91218776685508,C
15102,Pittsburgh,57.678485538314874,C
15221,Pittsburgh,50.262064417085696,C
15227,Pittsburgh,51.92747555853174,C
16046,Pittsburgh,70.31026771132716,B
16059,Pittsburgh,68.31334613031153,B
15065,Pittsburgh,60.65711515441771,C
15207,Pittsburgh,51.85142681774038,C
15211,Pittsburgh,51.50667445199191,C
15213,Pittsburgh,40.090402015396194,D
15215,Pittsburgh,64.46592365080681,C
15219,Pittsburgh,30.48762085403495,F
15223,Pittsburgh,52.0031465375305,C
15225,Pittsburgh,33.187717966533086,F
15321,Pittsburgh,64.87513469265733,C
15085,Pittsburgh,69.63385646792234,B
15106,Pittsburgh,59.4044659929484,C
15133,Pittsburgh,59.478154098657804,C
15136,Pittsburgh,50.406716497606595,C
15145,Pittsburgh,48.860062660132286,D
15217,Pittsburgh,56.65780862525552,C
15024,Pittsburgh,71.77698533781168,B
15143,Pittsburgh,77.36930407436151,B
16055,Pittsburgh,66.60141340965106,B
15035,Pittsburgh,46.51292285535373,D
15068,Pittsburgh,64.45416502376895,C
15089,Pittsburgh,57.1196641272944,C
15129,Pittsburgh,64.96640119442355,C
15135,Pittsburgh,67.91629904961037,B
15147,Pittsburgh,61.9203942133572,C
15204,Pittsburgh,45.76210333460709,D
15218,Pittsburgh,50.903016638282715,C
15220,Pittsburgh,56.38731339155884,C
15044,Pittsburgh,71.44995552620009,B
15071,Pittsburgh,68.23849578906243,B
15110,Pittsburgh,22.182170580009867,F
15116,Pittsburgh,67.29592545070042,B
15137,Pittsburgh,60.283043923739484,C
15228,Pittsburgh,60.347999371765596,C
15235,Pittsburgh,59.39090975226922,C
15237,Pittsburgh,66.95916686363083,B
15239,Pittsburgh,64.59412266006379,C
15075,Pittsburgh,56.040190621555034,C
15083,Pittsburgh,64.78575891650675,C
15084,Pittsburgh,67.43430750527459,B
15108,Pittsburgh,63.33047032416149,C
15126,Pittsburgh,67.55131321395568,B
15209,Pittsburgh,60.06846011341078,C
15216,Pittsburgh,51.54951767289107,C
15226,Pittsburgh,50.34118140505847,C
15234,Pittsburgh,50.944199524115845,C
15017,Pittsburgh,57.56258459141399,C
15049,Pittsburgh,58.899788700693904,C
15144,Pittsburgh,53.58484366101524,C
15210,Pittsburgh,41.64452787974679,D
15214,Pittsburgh,55.9799454759588,C
15232,Pittsburgh,45.493784887624685,D
15238,Pittsburgh,67.94974822112806,B
15642,Pittsburgh,63.876846179860664,C
15020,Pittsburgh,61.95031122390594,C
15025,Pittsburgh,58.025212222681574,C
15063,Pittsburgh,63.2112304559725,C
15064,Pittsburgh,66.66412337013634,B
15120,Pittsburgh,41.72776518344622,D
15132,Pittsburgh,32.843038607885454,F
15148,Pittsburgh,42.37960832615112,D
15208,Pittsburgh,31.371752808442075,F
15668,Pittsburgh,75.00551852927437,B
15037,Pittsburgh,68.52152713557949,B
15104,Pittsburgh,31.97742711254873,F
15112,Pittsburgh,43.42130901335488,D
15146,Pittsburgh,62.84930908745409,C
