zipcode,metro,composite_score,letter_grade
85212,Phoenix,30.962969532648202,F
85213,Phoenix,42.0835584444671,D
85215,Phoenix,38.29550318085021,D
85224,Phoenix,43.591692636364535,D
85225,Phoenix,38.67285307455705,D
85233,Phoenix,35.31738906896099,D
85234,Phoenix,37.06109638067404,D
85248,Phoenix,36.50174804023335,D
85249,Phoenix,34.21661343498014,F
85250,Phoenix,48.7955203419707,D
85251,Phoenix,45.59681420658285,D
85253,Phoenix,33.21174173990116,F
85254,Phoenix,37.24540556977307,D
85255,Phoenix,33.014536733825025,F
85256,Phoenix,15.535965671584567,F
85257,Phoenix,36.812682308547735,D
85259,Phoenix,39.161387792300694,D
85260,Phoenix,39.20610021298343,D
85262,Phoenix,26.007564539215643,F
85263,Phoenix,25.63020598114304,F
85264,Phoenix,20.420583046513283,F
85266,Phoenix,30.918873797907835,F
85268,Phoenix,29.920599630843594,F
85281,Phoenix,46.2977655237808,D
85282,Phoenix,50.873838748912455,C
85283,Phoenix,43.88127326935332,D
85284,Phoenix,41.722912945879955,D
85295,Phoenix,33.78734645006761,F
85296,Phoenix,36.355027013851526,D
85297,Phoenix,32.032653873387204,F
85298,Phoenix,38.661556264617545,D
85301,Phoenix,32.719162215458816,F
85302,Phoenix,36.37250409296017,D
85303,Phoenix,33.26501586146104,F
85304,Phoenix,38.3435135192603,D
85305,Phoenix,27.27483049675815,F
85306,Phoenix,33.24778089890804,F
85307,Phoenix,27.146529425490776,F
85309,Phoenix,33.60190413049184,F
85310,Phoenix,34.490417020296874,F
85320,Phoenix,23.38355991188088,F
85321,Phoenix,21.33818681961604,F
85322,Phoenix,21.998130194444073,F
85323,Phoenix,34.06081246244247,F
85326,Phoenix,27.206224360194557,F
85331,Phoenix,29.463400062669947,F
85333,Phoenix,25.90502558421675,F
85335,Phoenix,31.70421739074302,F
85337,Phoenix,16.196243381309284,F
85339,Phoenix,30.71026566034751,F
85340,Phoenix,33.593630890154536,F
85342,Phoenix,25.023267329082692,F
85343,Phoenix,21.856620726313654,F
85345,Phoenix,35.83877372680831,D
85351,Phoenix,27.10549627472527,F
85353,Phoenix,40.181066467806886,D
85354,Phoenix,21.762281159842388,F
85355,Phoenix,24.975768143484473,F
85361,Phoenix,24.551490040516388,F
85363,Phoenix,21.45741405696586,F
85374,Phoenix,34.79202744350921,F
85375,Phoenix,31.79934487952226,F
85377,Phoenix,31.63938199555144,F
85379,Phoenix,35.29118542336687,D
85381,Phoenix,42.7953161974236,D
85382,Phoenix,40.277997896788364,D
85383,Phoenix,31.144235305613726,F
85387,Phoenix,23.460394400971566,F
85388,Phoenix,33.79593329256346,F
85390,Phoenix,29.494501551227987,F
85392,Phoenix,30.048553860324546,F
85396,Phoenix,24.624205842664537,F
85545,Phoenix,17.359425132138714,F
85017,Phoenix,46.26575572628823,D
85032,Phoenix,47.541781955412695,D
85037,Phoenix,36.50235474456745,D
85051,Phoenix,40.555693591543715,D
85204,Phoenix,39.38693300514903,D
85226,Phoenix,48.99702530064409,D
85258,Phoenix,32.77085340980947,F
85286,Phoenix,35.3277288834698,D
